name,image,category
item.minecraft.black_bundle,black_bundle.png,Инструменты
block.minecraft.black_candle,black_candle.png,Разное
block.minecraft.black_carpet,black_carpet.png,Блоки
block.minecraft.black_concrete,black_concrete.png,Блоки
block.minecraft.black_concrete_powder,black_concrete_powder.png,Блоки
item.minecraft.black_dye,black_dye.png,Краски
block.minecraft.black_glazed_terracotta,black_glazed_terracotta.png,Блоки
block.minecraft.black_shulker_box,black_shulker_box.png,!!!ПРОДАЖА ЗАПРЕЩЕНА!!!
block.minecraft.black_stained_glass,black_stained_glass.png,Блоки
block.minecraft.black_stained_glass_pane,black_stained_glass_pane.png,Блоки
block.minecraft.black_terracotta,black_terracotta.png,Блоки
block.minecraft.black_wool,black_wool.png,Блоки
block.minecraft.blackstone,blackstone.png,Блоки
block.minecraft.blackstone_slab,blackstone_slab.png,Блоки
block.minecraft.blackstone_stairs,blackstone_stairs.png,Блоки
block.minecraft.blackstone_wall,blackstone_wall.png,Блоки
block.minecraft.blast_furnace,blast_furnace.png,Разное
item.minecraft.blaze_powder,blaze_powder.png,Лут с мобов
item.minecraft.blaze_rod,blaze_rod.png,Лут с мобов
block.minecraft.amethyst_block,amethyst_block.png,Блоки
block.minecraft.bamboo_block,bamboo_block.png,Блоки
block.minecraft.coal_block,coal_block.png,Ценности
block.minecraft.copper_block,copper_block.png,Блоки
block.minecraft.diamond_block,diamond_block.png,!!!ВАЛЮТА СЕРВЕРА!!!
block.minecraft.emerald_block,emerald_block.png,Ценности
block.minecraft.gold_block,gold_block.png,Ценности
block.minecraft.iron_block,iron_block.png,Ценности
block.minecraft.lapis_block,lapis_block.png,Ценности
block.minecraft.netherite_block,netherite_block.png,Ценности
block.minecraft.quartz_block,chiseled_quartz_block.png,Ценности
block.minecraft.raw_copper_block,raw_copper_block.png,Ценности
block.minecraft.raw_gold_block,raw_gold_block.png,Ценности
block.minecraft.raw_iron_block,raw_iron_block.png,Ценности
block.minecraft.redstone_block,redstone_block.png,Разное
block.minecraft.stripped_bamboo_block,stripped_bamboo_block.png,Блоки
block.minecraft.blue_banner,blue_banner.png,Блоки
block.minecraft.blue_bed,blue_bed.png,Блоки
item.minecraft.blue_bundle,blue_bundle.png,Инструменты
block.minecraft.blue_candle,blue_candle.png,Разное
block.minecraft.blue_carpet,blue_carpet.png,Блоки
block.minecraft.blue_concrete,blue_concrete.png,Блоки
block.minecraft.blue_concrete_powder,blue_concrete_powder.png,Блоки
item.minecraft.blue_dye,blue_dye.png,Краски
block.minecraft.blue_glazed_terracotta,blue_glazed_terracotta.png,Блоки
block.minecraft.blue_ice,blue_ice.png,Блоки
block.minecraft.blue_orchid,blue_orchid.png,Растения
block.minecraft.blue_shulker_box,blue_shulker_box.png,!!!ПРОДАЖА ЗАПРЕЩЕНА!!!
block.minecraft.blue_stained_glass,blue_stained_glass.png,Блоки
block.minecraft.blue_stained_glass_pane,blue_stained_glass_pane.png,Блоки
block.minecraft.blue_terracotta,blue_terracotta.png,Блоки
block.minecraft.blue_wool,blue_wool.png,Блоки
item.minecraft.bone,bone.png,Лут с мобов
block.minecraft.bone_block,bone_block.png,Блоки
item.minecraft.bone_meal,bone_meal.png,Разное
item.minecraft.book,book.png,Книги
item.minecraft.writable_book,writable_book.png,Книги
block.minecraft.bookshelf,bookshelf.png,Блоки
item.minecraft.experience_bottle,experience_bottle.png,Еда и зелья
item.minecraft.bow,bow.png,Инструменты
item.minecraft.bowl,bowl.png,Разное
block.minecraft.brain_coral,brain_coral.png,Растения
block.minecraft.brain_coral_block,brain_coral_block.png,Растения
block.minecraft.brain_coral_fan,brain_coral_fan.png,Растения
item.minecraft.bread,bread.png,Еда и зелья
item.minecraft.breeze_rod,breeze_rod.png,Лут с мобов
block.minecraft.brewing_stand,brewing_stand.png,Разное
item.minecraft.brick,brick.png,Разное
block.minecraft.brick_slab,brick_slab.png,Блоки
block.minecraft.brick_stairs,brick_stairs.png,Блоки
block.minecraft.brick_wall,brick_wall.png,Блоки
block.minecraft.bricks,bricks.png,Блоки
block.minecraft.brown_banner,brown_banner.png,Блоки
block.minecraft.brown_bed,brown_bed.png,Блоки
item.minecraft.brown_bundle,brown_bundle.png,Инструменты
block.minecraft.brown_candle,brown_candle.png,Разное
block.minecraft.brown_carpet,brown_carpet.png,Блоки
block.minecraft.brown_concrete,brown_concrete.png,Блоки
block.minecraft.brown_concrete_powder,brown_concrete_powder.png,Блоки
item.minecraft.brown_dye,brown_dye.png,Краски
block.minecraft.brown_glazed_terracotta,brown_glazed_terracotta.png,Блоки
block.minecraft.brown_mushroom,brown_mushroom.png,Растения
block.minecraft.brown_mushroom_block,brown_mushroom_block.png,Блоки
block.minecraft.brown_shulker_box,brown_shulker_box.png,!!!ПРОДАЖА ЗАПРЕЩЕНА!!!
block.minecraft.brown_stained_glass,brown_stained_glass.png,Блоки
block.minecraft.brown_stained_glass_pane,brown_stained_glass_pane.png,Блоки
block.minecraft.brown_terracotta,brown_terracotta.png,Блоки
block.minecraft.brown_wool,brown_wool.png,Блоки
item.minecraft.brush,brush.png,Инструменты
block.minecraft.bubble_coral,bubble_coral.png,Растения
block.minecraft.bubble_coral_block,bubble_coral_block.png,Растения
block.minecraft.bubble_coral_fan,bubble_coral_fan.png,Растения
item.minecraft.bucket,bucket.png,Инструменты
item.minecraft.axolotl_bucket,axolotl_bucket.png,Лут с мобов
item.minecraft.cod_bucket,cod_bucket.png,Лут с мобов
item.minecraft.pufferfish_bucket,pufferfish_bucket.png,Лут с мобов
item.minecraft.salmon_bucket,salmon_bucket.png,Лут с мобов
item.minecraft.tadpole_bucket,tadpole_bucket.png,Лут с мобов
item.minecraft.tropical_fish_bucket,tropical_fish_bucket.png,Лут с мобов
item.minecraft.bundle,bundle.png,Инструменты
block.minecraft.cactus,cactus.png,Растения
block.minecraft.cake,cake.png,Еда и зелья
block.minecraft.calcite,calcite.png,Блоки
block.minecraft.calibrated_sculk_sensor,calibrated_sculk_sensor.png,Разное
block.minecraft.campfire,campfire.png,Разное
block.minecraft.candle,candle.png,Разное
block.minecraft.carrots,carrot.png,Еда и зелья
item.minecraft.carrot_on_a_stick,carrot_on_a_stick.png,Инструменты
block.minecraft.cartography_table,cartography_table.png,Разное
block.minecraft.carved_pumpkin,carved_pumpkin.png,Растения
block.minecraft.cauldron,cauldron.png,Разное
block.minecraft.chain,chain.png,Разное
item.minecraft.chainmail_boots,chainmail_boots.png,Броня
item.minecraft.chainmail_chestplate,chainmail_chestplate.png,Броня
item.minecraft.chainmail_helmet,chainmail_helmet.png,Броня
item.minecraft.chainmail_leggings,chainmail_leggings.png,Броня
item.minecraft.charcoal,charcoal.png,Ценности
entity.minecraft.cherry_boat,cherry_boat.png,Разное
item.minecraft.cherry_chest_boat,cherry_chest_boat.png,Разное
block.minecraft.cherry_button,cherry_button.png,Разное
block.minecraft.cherry_door,cherry_door.png,Блоки
block.minecraft.cherry_fence,cherry_fence.png,Блоки
block.minecraft.cherry_fence_gate,cherry_fence_gate.png,Блоки
block.minecraft.cherry_hanging_sign,cherry_hanging_sign.png,Блоки
block.minecraft.cherry_leaves,cherry_leaves.png,Растения
block.minecraft.cherry_log,cherry_log.png,Блоки
block.minecraft.cherry_planks,cherry_planks.png,Блоки
block.minecraft.cherry_pressure_plate,cherry_pressure_plate.png,Разное
block.minecraft.cherry_sapling,cherry_sapling.png,Растения
block.minecraft.cherry_sign,cherry_sign.png,Блоки
block.minecraft.cherry_slab,cherry_slab.png,Блоки
block.minecraft.cherry_stairs,cherry_stairs.png,Блоки
block.minecraft.cherry_trapdoor,cherry_trapdoor.png,Блоки
block.minecraft.cherry_wood,cherry_wood.png,Блоки
block.minecraft.chest,chest.png,Разное
block.minecraft.chipped_anvil,chipped_anvil.png,Разное
block.minecraft.chiseled_bookshelf,chiseled_bookshelf.png,Блоки
block.minecraft.chiseled_copper,chiseled_copper.png,Блоки
block.minecraft.chiseled_deepslate,chiseled_deepslate.png,Блоки
block.minecraft.chiseled_nether_bricks,chiseled_nether_bricks.png,Блоки
block.minecraft.chiseled_polished_blackstone,chiseled_polished_blackstone.png,Блоки
block.minecraft.chiseled_quartz_block,chiseled_quartz_block.png,Блоки
block.minecraft.chiseled_red_sandstone,chiseled_red_sandstone.png,Блоки
block.minecraft.chiseled_sandstone,chiseled_sandstone.png,Блоки
block.minecraft.chiseled_stone_bricks,chiseled_stone_bricks.png,Блоки
block.minecraft.chiseled_tuff,chiseled_tuff.png,Блоки
block.minecraft.chiseled_tuff_bricks,chiseled_tuff_bricks.png,Блоки
block.minecraft.chorus_flower,chorus_flower.png,Растения
item.minecraft.chorus_fruit,chorus_fruit.png,Еда и зелья
block.minecraft.clay,clay.png,Блоки
item.minecraft.clay_ball,clay_ball.png,Разное
item.minecraft.clock,clock.png,Инструменты
item.minecraft.coal,coal.png,Ценности
block.minecraft.coal_ore,coal_ore.png,Ценности
block.minecraft.coarse_dirt,coarse_dirt.png,Блоки
block.minecraft.cobbled_deepslate,cobbled_deepslate.png,Блоки
block.minecraft.cobbled_deepslate_slab,cobbled_deepslate_slab.png,Блоки
block.minecraft.cobbled_deepslate_stairs,cobbled_deepslate_stairs.png,Блоки
block.minecraft.cobbled_deepslate_wall,cobbled_deepslate_wall.png,Блоки
block.minecraft.cobblestone,cobblestone.png,Блоки
block.minecraft.cobblestone_slab,cobblestone_slab.png,Блоки
block.minecraft.cobblestone_stairs,cobblestone_stairs.png,Блоки
block.minecraft.cobblestone_wall,cobblestone_wall.png,Блоки
block.minecraft.cobweb,cobweb.png,Лут с мобов
item.minecraft.cocoa_beans,cocoa_beans.png,Растения
item.minecraft.compass,compass.png,Инструменты
block.minecraft.composter,composter.png,Разное
block.minecraft.conduit,conduit.png,Ценности
item.minecraft.cooked_chicken,cooked_chicken.png,Еда и зелья
item.minecraft.cooked_cod,cooked_cod.png,Еда и зелья
item.minecraft.cooked_mutton,cooked_mutton.png,Еда и зелья
item.minecraft.cooked_porkchop,cooked_porkchop.png,Еда и зелья
item.minecraft.cooked_rabbit,cooked_rabbit.png,Еда и зелья
item.minecraft.cooked_salmon,cooked_salmon.png,Еда и зелья
item.minecraft.cookie,cookie.png,Еда и зелья
block.minecraft.copper_bulb,copper_bulb.png,Блоки
block.minecraft.copper_door,copper_door.png,Блоки
block.minecraft.copper_grate,copper_grate.png,Блоки
item.minecraft.copper_ingot,copper_ingot.png,Блоки
block.minecraft.copper_ore,copper_ore.png,Ценности
block.minecraft.copper_trapdoor,copper_trapdoor.png,Блоки
block.minecraft.cornflower,cornflower.png,Растения
block.minecraft.cracked_deepslate_bricks,cracked_deepslate_bricks.png,Блоки
block.minecraft.cracked_deepslate_tiles,cracked_deepslate_tiles.png,Блоки
block.minecraft.cracked_nether_bricks,cracked_nether_bricks.png,Блоки
block.minecraft.cracked_polished_blackstone_bricks,cracked_polished_blackstone_bricks.png,Блоки
block.minecraft.cracked_stone_bricks,cracked_stone_bricks.png,Блоки
block.minecraft.crafter,crafter.png,Разное
block.minecraft.crafting_table,crafting_table.png,Разное
block.minecraft.creeper_head,creeper_head.png,Ценности
block.minecraft.crimson_button,crimson_button.png,Разное
block.minecraft.crimson_door,crimson_door.png,Блоки
block.minecraft.crimson_fence,crimson_fence.png,Блоки
block.minecraft.crimson_fence_gate,crimson_fence_gate.png,Блоки
block.minecraft.crimson_fungus,crimson_fungus.png,Растения
block.minecraft.crimson_hanging_sign,crimson_hanging_sign.png,Блоки
block.minecraft.crimson_hyphae,crimson_hyphae.png,Блоки
block.minecraft.crimson_nylium,crimson_nylium.png,Блоки
block.minecraft.crimson_planks,crimson_planks.png,Блоки
block.minecraft.crimson_pressure_plate,crimson_pressure_plate.png,Разное
block.minecraft.crimson_roots,crimson_roots.png,Растения
block.minecraft.crimson_sign,crimson_sign.png,Блоки
block.minecraft.crimson_slab,crimson_slab.png,Блоки
block.minecraft.crimson_stairs,crimson_stairs.png,Блоки
block.minecraft.crimson_stem,crimson_stem.png,Растения
block.minecraft.crimson_trapdoor,crimson_trapdoor.png,Блоки
item.minecraft.crossbow,crossbow.png,Инструменты
block.minecraft.crying_obsidian,crying_obsidian.png,Блоки
block.minecraft.cut_copper,cut_copper.png,Блоки
block.minecraft.cut_copper_slab,cut_copper_slab.png,Блоки
block.minecraft.cut_copper_stairs,cut_copper_stairs.png,Блоки
block.minecraft.cut_red_sandstone,cut_red_sandstone.png,Блоки
block.minecraft.cut_red_sandstone_slab,cut_red_sandstone_slab.png,Блоки
block.minecraft.cut_sandstone,cut_sandstone.png,Блоки
block.minecraft.cut_sandstone_slab,cut_sandstone_slab.png,Блоки
block.minecraft.cyan_banner,cyan_banner.png,Блоки
block.minecraft.cyan_bed,cyan_bed.png,Блоки
item.minecraft.cyan_bundle,cyan_bundle.png,Инструменты
block.minecraft.cyan_candle,cyan_candle.png,Разное
block.minecraft.cyan_carpet,cyan_carpet.png,Блоки
block.minecraft.cyan_concrete,cyan_concrete.png,Блоки
block.minecraft.cyan_concrete_powder,cyan_concrete_powder.png,Блоки
item.minecraft.cyan_dye,cyan_dye.png,Краски
block.minecraft.cyan_glazed_terracotta,cyan_glazed_terracotta.png,Блоки
block.minecraft.cyan_shulker_box,cyan_shulker_box.png,!!!ПРОДАЖА ЗАПРЕЩЕНА!!!
block.minecraft.cyan_stained_glass,cyan_stained_glass.png,Блоки
block.minecraft.cyan_stained_glass_pane,cyan_stained_glass_pane.png,Блоки
block.minecraft.cyan_terracotta,cyan_terracotta.png,Блоки
block.minecraft.cyan_wool,cyan_wool.png,Блоки
block.minecraft.damaged_anvil,damaged_anvil.png,Разное
block.minecraft.dandelion,dandelion.png,Растения
entity.minecraft.dark_oak_boat,dark_oak_boat.png,Разное
item.minecraft.dark_oak_chest_boat,dark_oak_chest_boat.png,Разное
block.minecraft.dark_oak_button,dark_oak_button.png,Разное
block.minecraft.dark_oak_door,dark_oak_door.png,Блоки
block.minecraft.dark_oak_fence,dark_oak_fence.png,Блоки
block.minecraft.dark_oak_fence_gate,dark_oak_fence_gate.png,Блоки
block.minecraft.dark_oak_hanging_sign,dark_oak_hanging_sign.png,Блоки
block.minecraft.dark_oak_leaves,dark_oak_leaves.png,Растения
block.minecraft.dark_oak_log,dark_oak_log.png,Блоки
block.minecraft.dark_oak_planks,dark_oak_planks.png,Блоки
block.minecraft.dark_oak_pressure_plate,dark_oak_pressure_plate.png,Разное
block.minecraft.dark_oak_sapling,dark_oak_sapling.png,Растения
block.minecraft.dark_oak_sign,dark_oak_sign.png,Блоки
block.minecraft.dark_oak_slab,dark_oak_slab.png,Блоки
block.minecraft.dark_oak_stairs,dark_oak_stairs.png,Блоки
block.minecraft.dark_oak_trapdoor,dark_oak_trapdoor.png,Блоки
block.minecraft.dark_oak_wood,dark_oak_wood.png,Блоки
block.minecraft.dark_prismarine,dark_prismarine.png,Блоки
block.minecraft.dark_prismarine_slab,dark_prismarine_slab.png,Блоки
block.minecraft.dark_prismarine_stairs,dark_prismarine_stairs.png,Блоки
block.minecraft.daylight_detector,daylight_detector.png,Разное
block.minecraft.dead_brain_coral,dead_brain_coral.png,Растения
block.minecraft.dead_brain_coral_block,dead_brain_coral_block.png,Растения
block.minecraft.dead_brain_coral_fan,dead_brain_coral_fan.png,Растения
block.minecraft.dead_bubble_coral,dead_bubble_coral.png,Растения
block.minecraft.dead_bubble_coral_block,dead_bubble_coral_block.png,Растения
block.minecraft.dead_bubble_coral_fan,dead_bubble_coral_fan.png,Растения
block.minecraft.dead_bush,dead_bush.png,Растения
block.minecraft.dead_fire_coral,dead_fire_coral.png,Растения
block.minecraft.dead_fire_coral_block,dead_fire_coral_block.png,Растения
block.minecraft.dead_fire_coral_fan,dead_fire_coral_fan.png,Растения
block.minecraft.dead_horn_coral,dead_horn_coral.png,Растения
block.minecraft.dead_horn_coral_block,dead_horn_coral_block.png,Растения
block.minecraft.dead_horn_coral_fan,dead_horn_coral_fan.png,Растения
block.minecraft.dead_tube_coral,dead_tube_coral.png,Растения
block.minecraft.dead_tube_coral_block,dead_tube_coral_block.png,Растения
block.minecraft.dead_tube_coral_fan,dead_tube_coral_fan.png,Растения
block.minecraft.deepslate,deepslate.png,Блоки
block.minecraft.deepslate_brick_slab,deepslate_brick_slab.png,Блоки
block.minecraft.deepslate_brick_stairs,deepslate_brick_stairs.png,Блоки
block.minecraft.deepslate_brick_wall,deepslate_brick_wall.png,Блоки
block.minecraft.deepslate_bricks,deepslate_bricks.png,Блоки
block.minecraft.deepslate_coal_ore,deepslate_coal_ore.png,Ценности
block.minecraft.deepslate_copper_ore,deepslate_copper_ore.png,Ценности
block.minecraft.deepslate_diamond_ore,deepslate_diamond_ore.png,Ценности
block.minecraft.deepslate_emerald_ore,deepslate_emerald_ore.png,Ценности
block.minecraft.deepslate_gold_ore,deepslate_gold_ore.png,Ценности
block.minecraft.deepslate_iron_ore,deepslate_iron_ore.png,Ценности
block.minecraft.deepslate_lapis_ore,deepslate_lapis_ore.png,Ценности
block.minecraft.deepslate_redstone_ore,deepslate_redstone_ore.png,Ценности
block.minecraft.deepslate_tile_slab,deepslate_tile_slab.png,Блоки
block.minecraft.deepslate_tile_stairs,deepslate_tile_stairs.png,Блоки
block.minecraft.deepslate_tile_wall,deepslate_tile_wall.png,Блоки
block.minecraft.deepslate_tiles,deepslate_tiles.png,Блоки
block.minecraft.detector_rail,detector_rail.png,Разное
item.minecraft.diamond,diamond.png,!!!ВАЛЮТА СЕРВЕРА!!!
item.minecraft.diamond_axe,diamond_axe.png,Инструменты
item.minecraft.diamond_boots,diamond_boots.png,Броня
item.minecraft.diamond_chestplate,diamond_chestplate.png,Броня
item.minecraft.diamond_helmet,diamond_helmet.png,Броня
item.minecraft.diamond_hoe,diamond_hoe.png,Инструменты
item.minecraft.diamond_horse_armor,diamond_horse_armor.png,Броня
item.minecraft.diamond_leggings,diamond_leggings.png,Броня
block.minecraft.diamond_ore,diamond_ore.png,Ценности
item.minecraft.diamond_pickaxe,diamond_pickaxe.png,Инструменты
item.minecraft.diamond_shovel,diamond_shovel.png,Инструменты
item.minecraft.diamond_sword,diamond_sword.png,Инструменты
block.minecraft.diorite,diorite.png,Блоки
block.minecraft.diorite_slab,diorite_slab.png,Блоки
block.minecraft.diorite_stairs,diorite_stairs.png,Блоки
block.minecraft.diorite_wall,diorite_wall.png,Блоки
block.minecraft.dirt,dirt.png,Блоки
item.minecraft.disc_fragment_5,disc_fragment_5.png,Ценности
block.minecraft.dispenser,dispenser.png,Разное
block.minecraft.dragon_egg,dragon_egg.png,НЕЛЬЗЯ ПРОДАВАТЬ
block.minecraft.dragon_head,dragon_head.png,Ценности
item.minecraft.dragon_breath,dragon_breath.png,Еда и зелья
item.minecraft.dried_kelp,dried_kelp.png,Еда и зелья
block.minecraft.dried_kelp_block,dried_kelp_block.png,Растения
block.minecraft.dripstone_block,dripstone_block.png,Блоки
block.minecraft.dropper,dropper.png,Разное
item.minecraft.echo_shard,echo_shard.png,Ценности
item.minecraft.egg,egg.png,Лут с мобов
item.minecraft.elytra,elytra.png,Броня
item.minecraft.emerald,emerald.png,Ценности
block.minecraft.emerald_ore,emerald_ore.png,Ценности
item.minecraft.map,map.png,Инструменты
item.minecraft.enchanted_golden_apple,enchanted_golden_apple.png,Ценности
block.minecraft.enchanting_table,enchanting_table.png,Разное
entity.minecraft.end_crystal,end_crystal.png,Разное
block.minecraft.end_rod,end_rod.png,Разное
block.minecraft.end_stone,end_stone.png,Блоки
block.minecraft.end_stone_brick_slab,end_stone_brick_slab.png,Блоки
block.minecraft.end_stone_brick_stairs,end_stone_brick_stairs.png,Блоки
block.minecraft.end_stone_brick_wall,end_stone_brick_wall.png,Блоки
block.minecraft.end_stone_bricks,end_stone_bricks.png,Блоки
block.minecraft.ender_chest,ender_chest.png,Разное
item.minecraft.ender_pearl,ender_pearl.png,Лут с мобов
block.minecraft.exposed_chiseled_copper,exposed_chiseled_copper.png,Блоки
block.minecraft.exposed_copper,exposed_copper.png,Блоки
block.minecraft.exposed_copper_bulb,exposed_copper_bulb.png,Блоки
block.minecraft.exposed_copper_door,exposed_copper_door.png,Блоки
block.minecraft.exposed_copper_grate,exposed_copper_grate.png,Блоки
block.minecraft.exposed_copper_trapdoor,exposed_copper_trapdoor.png,Блоки
block.minecraft.exposed_cut_copper,exposed_cut_copper.png,Блоки
block.minecraft.exposed_cut_copper_slab,exposed_cut_copper_slab.png,Блоки
block.minecraft.exposed_cut_copper_stairs,exposed_cut_copper_stairs.png,Блоки
entity.minecraft.eye_of_ender,ender_eye.png,Лут с мобов
item.minecraft.feather,feather.png,Лут с мобов
item.minecraft.fermented_spider_eye,fermented_spider_eye.png,Еда и зелья
block.minecraft.fern,fern.png,Растения
item.minecraft.fire_charge,fire_charge.png,Разное
block.minecraft.fire_coral,fire_coral.png,Растения
block.minecraft.fire_coral_block,fire_coral_block.png,Растения
block.minecraft.fire_coral_fan,fire_coral_fan.png,Растения
entity.minecraft.firework_rocket,firework_rocket.png,Разное
item.minecraft.fishing_rod,fishing_rod.png,Инструменты
block.minecraft.fletching_table,fletching_table.png,Разное
item.minecraft.flint,flint.png,Разное
item.minecraft.flint_and_steel,flint_and_steel.png,Инструменты
block.minecraft.flower_pot,flower_pot.png,Разное
block.minecraft.flowering_azalea,flowering_azalea.png,Растения
block.minecraft.flowering_azalea_leaves,flowering_azalea_leaves.png,Растения
block.minecraft.furnace,furnace.png,Разное
item.minecraft.ghast_tear,ghast_tear.png,Лут с мобов
block.minecraft.gilded_blackstone,gilded_blackstone.png,Ценности
block.minecraft.glass,glass.png,Блоки
item.minecraft.glass_bottle,glass_bottle.png,Блоки
block.minecraft.glass_pane,glass_pane.png,Блоки
item.minecraft.glistering_melon_slice,glistering_melon_slice.png,Еда и зелья
item.minecraft.glow_berries,glow_berries.png,Еда и зелья
item.minecraft.glow_ink_sac,glow_ink_sac.png,Краски
entity.minecraft.glow_item_frame,glow_item_frame.png,Разное
block.minecraft.glow_lichen,glow_lichen.png,Растения
block.minecraft.glowstone,glowstone.png,Блоки
item.minecraft.glowstone_dust,glowstone_dust.png,Разное
item.minecraft.goat_horn,goat_horn.png,Ценности
item.minecraft.gold_ingot,gold_ingot.png,Ценности
item.minecraft.gold_nugget,gold_nugget.png,!!!ПРОДАЖА ЗАПРЕЩЕНА!!!
block.minecraft.gold_ore,gold_ore.png,Ценности
item.minecraft.golden_apple,golden_apple.png,Еда и зелья
item.minecraft.golden_axe,golden_axe.png,Инструменты
item.minecraft.golden_boots,golden_boots.png,Броня
item.minecraft.golden_carrot,golden_carrot.png,Еда и зелья
item.minecraft.golden_chestplate,golden_chestplate.png,Броня
item.minecraft.golden_helmet,golden_helmet.png,Броня
item.minecraft.golden_hoe,golden_hoe.png,Ценности
item.minecraft.golden_horse_armor,golden_horse_armor.png,Броня
item.minecraft.golden_leggings,golden_leggings.png,Ценности
item.minecraft.golden_pickaxe,golden_pickaxe.png,Инструменты
item.minecraft.golden_shovel,golden_shovel.png,Инструменты
item.minecraft.golden_sword,golden_sword.png,Инструменты
